Precinct,Location,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,Raymond Dehn,Tom Hoch
Hennepin: MINNEAPOLIS W-1 P-01,"45.020526, -93.269473",69,95,64,56,77
Hennepin: MINNEAPOLIS W-1 P-02,"45.030987, -93.237284",193,316,186,191,298
Hennepin: MINNEAPOLIS W-1 P-03,"45.022229, -93.237205",209,339,211,221,236
Hennepin: MINNEAPOLIS W-1 P-04,"45.015955, -93.237156",162,283,177,250,205
Hennepin: MINNEAPOLIS W-1 P-05,"45.006107, -93.226845",135,265,160,147,197
Hennepin: MINNEAPOLIS W-1 P-06,"45.005963, -93.242273",147,258,182,203,199
Hennepin: MINNEAPOLIS W-1 P-07,"44.995070, -93.221544",113,102,87,197,50
Hennepin: MINNEAPOLIS W-1 P-08,"45.003075, -93.252506",136,123,74,141,107
Hennepin: MINNEAPOLIS W-1 P-09,"45.015816, -93.254303",172,233,144,250,194
Hennepin: MINNEAPOLIS W-1 P-10,"45.032000, -93.262920",59,127,65,59,80
Hennepin: MINNEAPOLIS W-2 P-01,"44.950149, -93.227051",131,104,142,168,77
Hennepin: MINNEAPOLIS W-2 P-02,"44.956405, -93.228328",149,131,181,209,104
Hennepin: MINNEAPOLIS W-2 P-03,"44.984224, -93.218565",103,90,81,197,67
Hennepin: MINNEAPOLIS W-2 P-04,"44.976302, -93.234031",55,41,24,125,16
Hennepin: MINNEAPOLIS W-2 P-05,"44.970976, -93.215247",112,130,124,207,145
Hennepin: MINNEAPOLIS W-2 P-06,"44.961591, -93.214282",78,107,125,119,110
Hennepin: MINNEAPOLIS W-2 P-07,"44.973076, -93.242704",46,38,37,101,29
Hennepin: MINNEAPOLIS W-2 P-08,"44.946834, -93.211350",251,301,301,268,275
Hennepin: MINNEAPOLIS W-2 P-09,"44.965464, -93.229795",90,94,74,173,62
Hennepin: MINNEAPOLIS W-2 P-10,"44.970364, -93.226338",62,65,79,134,18
Hennepin: MINNEAPOLIS W-2 P-11,"44.944094, -93.225683",139,125,167,165,102
Hennepin: MINNEAPOLIS W-3 P-01,"44.983557, -93.236982",65,111,73,287,32
Hennepin: MINNEAPOLIS W-3 P-02,"44.985353, -93.244662",146,242,117,302,124
Hennepin: MINNEAPOLIS W-3 P-03,"44.986807, -93.254822",147,537,164,238,352
Hennepin: MINNEAPOLIS W-3 P-04,"44.994432, -93.252974",60,153,64,105,131
Hennepin: MINNEAPOLIS W-3 P-05,"44.994926, -93.264468",132,235,100,143,166
Hennepin: MINNEAPOLIS W-3 P-06,"45.005126, -93.267518",253,311,204,308,196
Hennepin: MINNEAPOLIS W-3 P-07,"44.989085, -93.271472",89,335,130,93,266
Hennepin: MINNEAPOLIS W-3 P-08,"44.983903, -93.266608",35,282,93,63,204
Hennepin: MINNEAPOLIS W-3 P-09,"44.976209, -93.255679",46,386,119,86,327
Hennepin: MINNEAPOLIS W-3 P-10,"44.994874, -93.242454",76,104,51,106,52
Hennepin: MINNEAPOLIS W-3 P-11,"44.986810, -93.278005",36,261,60,42,172
Hennepin: MINNEAPOLIS W-3 P-12,"44.981036, -93.272567",33,109,36,35,90
Hennepin: MINNEAPOLIS W-4 P-01,"45.047631, -93.310572",111,99,79,60,111
Hennepin: MINNEAPOLIS W-4 P-02,"45.042116, -93.291464",158,132,122,52,120
Hennepin: MINNEAPOLIS W-4 P-03,"45.018512, -93.285889",80,69,66,44,49
Hennepin: MINNEAPOLIS W-4 P-04,"45.038416, -93.308521",155,201,121,171,239
Hennepin: MINNEAPOLIS W-4 P-05,"45.018583, -93.300667",196,114,104,93,152
Hennepin: MINNEAPOLIS W-4 P-06,"45.029435, -93.290701",98,105,77,65,129
Hennepin: MINNEAPOLIS W-4 P-07,"45.026925, -93.309692",150,162,81,115,193
Hennepin: MINNEAPOLIS W-4 P-08,"45.015054, -93.313306",152,151,125,109,106
Hennepin: MINNEAPOLIS W-5 P-01,"44.999773, -93.313342",220,87,111,107,70
Hennepin: MINNEAPOLIS W-5 P-02,"45.007781, -93.300610",136,74,72,50,76
Hennepin: MINNEAPOLIS W-5 P-03,"44.997426, -93.304468",143,49,70,62,49
Hennepin: MINNEAPOLIS W-5 P-04,"44.989354, -93.313364",137,61,78,98,87
Hennepin: MINNEAPOLIS W-5 P-05,"44.994924, -93.287983",163,80,94,52,88
